Brand,Model,Rank,Benchmark,Samples,URL
Nvidia,Quadro M4000,118,31.4,5850,https://gpu.userbenchmark.com/SpeedTest/37687/NVIDIA-Quadro-M4000
Nvidia,GTX 1050-Ti,119,31.1,724497,https://gpu.userbenchmark.com/Nvidia-GTX-1050-Ti/Rating/3649
AMD,HD 7950,120,30.8,29777,https://gpu.userbenchmark.com/AMD-HD-7950/Rating/2160
Nvidia,GTX 1050-Ti (Mobile),121,30.8,83126,https://gpu.userbenchmark.com/SpeedTest/223242/NVIDIA-GeForce-GTX-1050-Ti
Nvidia,GTX 670,122,29.3,42115,https://gpu.userbenchmark.com/Nvidia-GTX-670/Rating/2181
Nvidia,GTX 880M,123,28.5,2696,https://gpu.userbenchmark.com/SpeedTest/8540/NVIDIA-GeForce-GTX-880M
AMD,R9 270X,124,28.2,76654,https://gpu.userbenchmark.com/AMD-R9-270X/Rating/2188
Nvidia,GTX 660-Ti,125,28.1,32325,https://gpu.userbenchmark.com/Nvidia-GTX-660-Ti/Rating/2183
Nvidia,GTX 760,126,27.8,120876,https://gpu.userbenchmark.com/Nvidia-GTX-760/Rating/2159
Nvidia,GTX 760 Ti OEM,127,27.6,1463,https://gpu.userbenchmark.com/SpeedTest/10856/NVIDIA-GeForce-GTX-760-Ti-OEM
AMD,HD 7870,128,27.1,34808,https://gpu.userbenchmark.com/AMD-HD-7870/Rating/2161
Nvidia,GTX 1050-Ti (Mobile Max-Q),129,26.9,7700,https://gpu.userbenchmark.com/SpeedTest/419871/NVIDIA-GeForce-GTX-1050-Ti-with-Max-Q-Design
Nvidia,GTX 1050,130,26.8,194443,https://gpu.userbenchmark.com/Nvidia-GTX-1050/Rating/3650
Nvidia,GTX 950,131,26.2,91385,https://gpu.userbenchmark.com/Nvidia-GTX-950/Rating/3510
Nvidia,GTX 780M,132,25.9,3691,https://gpu.userbenchmark.com/SpeedTest/7760/NVIDIA-GeForce-GTX-780M
AMD,Radeon RX Vega M GL,133,25.5,1046,https://gpu.userbenchmark.com/SpeedTest/453719/Radeon-RX-Vega-M-GL-Graphics
Nvidia,GTX 1050 (Mobile),134,25,121507,https://gpu.userbenchmark.com/SpeedTest/211022/NVIDIA-GeForce-GTX-1050
Nvidia,Quadro P1000,135,24.8,4046,https://gpu.userbenchmark.com/SpeedTest/271840/NVIDIA-Quadro-P1000
Nvidia,GeForce GTX 590 (SLI Disabled),136,24.8,1010,https://gpu.userbenchmark.com/SpeedTest/8041/NVIDIA-GeForce-GTX-590
AMD,R9 270,137,24.5,36484,https://gpu.userbenchmark.com/AMD-R9-270/Rating/3149
Nvidia,GTX 965M,138,24.1,3408,https://gpu.userbenchmark.com/SpeedTest/24481/NVIDIA-GeForce-GTX-965M
Nvidia,GTX 870M,139,23.8,2819,https://gpu.userbenchmark.com/SpeedTest/10421/NVIDIA-GeForce-GTX-870M
Nvidia,Quadro M2000,141,22.6,3748,https://gpu.userbenchmark.com/SpeedTest/135005/NVIDIA-Quadro-M2000
AMD,RX 560,142,22.6,43867,https://gpu.userbenchmark.com/AMD-RX-560/Rating/3926
Nvidia,GTX 680MX,143,22.5,237,https://gpu.userbenchmark.com/SpeedTest/8956/NVIDIA-GeForce-GTX-680MX
Nvidia,Quadro K4200,144,22.2,4242,https://gpu.userbenchmark.com/Nvidia-Quadro-K4200/Rating/2838
Nvidia,Quadro K5100M,145,22.1,485,https://gpu.userbenchmark.com/SpeedTest/11274/NVIDIA-Quadro-K5100M
Nvidia,Quadro K5000,146,21.9,2134,https://gpu.userbenchmark.com/SpeedTest/9098/NVIDIA-Quadro-K5000
Nvidia,GTX 775M,147,21.8,352,https://gpu.userbenchmark.com/SpeedTest/13797/NVIDIA-GeForce-GTX-775M
AMD,HD 6970,148,21.5,7371,https://gpu.userbenchmark.com/SpeedTest/7712/AMD-Radeon-HD-6900
AMD,R7 370,149,21.5,32785,https://gpu.userbenchmark.com/AMD-R7-370/Rating/3571
Nvidia,GTX 580,150,21.5,12682,https://gpu.userbenchmark.com/Nvidia-GTX-580/Rating/3150
Nvidia,GTX 660,151,21.2,85955,https://gpu.userbenchmark.com/Nvidia-GTX-660/Rating/2162
AMD,R9 M290X,152,21.1,1174,https://gpu.userbenchmark.com/SpeedTest/11722/AMD-Radeon-R9-M290X
Nvidia,GTX 760 (192-bit),153,21,8957,https://gpu.userbenchmark.com/SpeedTest/11047/NVIDIA-GeForce-GTX-760-192-bit
Nvidia,GeForce MX350,154,20.9,616,https://gpu.userbenchmark.com/SpeedTest/1069350/NVIDIA-GeForce-MX350
AMD,Radeon HD 7970M,155,20.9,842,https://gpu.userbenchmark.com/SpeedTest/9441/AMD-Radeon-HD-7970M
AMD,HD 6990 (Crossfire Disabled),156,20.8,1045,https://gpu.userbenchmark.com/SpeedTest/7713/AMD-Radeon-HD-6900
AMD,R7 265,157,20.6,7199,https://gpu.userbenchmark.com/AMD-R7-265/Rating/3296
AMD,HD 7790,159,20.4,8048,https://gpu.userbenchmark.com/SpeedTest/8622/AMD-Radeon-HD-7700
AMD,Radeon RX 560-B,160,20.4,32320,https://gpu.userbenchmark.com/SpeedTest/330029/Radeon-RX-560
AMD,R9 M290,161,20.3,71,https://gpu.userbenchmark.com/SpeedTest/31120/AMD-RADEON-R9-M290
